rank,countryCode,countryName,totalPoints,previousPoints
205,GUM,Guam,838.33,838.33
206,TCA,Turks and Caicos Islands,832.0,832.0
207,SRI,Sri Lanka,825.25,825.25
208,VIR,US Virgin Islands,823.97,823.97
209,VGB,British Virgin Islands,809.32,809.32
210,AIA,Anguilla,790.74,790.74
211,SMR,San Marino,762.22,763.82
19,,Serbia and Montenegro,674.0,674.0
6,,Yugoslavia,64.0,64.0
64,,Czechoslovakia,24.0,24.0
45,,German DR,0.0,0.0
